R-060727_TKB060112a1_Ch2_l6ct_o_DB_60x_2	6	L6CTPC
R-060727_TKB060119b1_Ch0_l6cc_n_DB_60x_2	6	L6CCPC
R-060926_TKB060523a3_Ch1_l6ct_n_nb_60x.1	6	L6CTPC
R-060929_tkb060223b3_ch1_l6ct_o_PS_60x_1	6	L6CTPC
R-061003_tkb060511a1_ch3_l6cc_n_PS_100x_1	6	L6CCPC
R-061005_OG060805a1_ch5_l6mc_n_nb_100x_1	6	MC
R-061010_OG060602a2_ch7_l6mc_n_nb_100x_1	6	MC
R-C011098A-P4_repaired	2   L2PC    	
R-C050398B-P2_repaired	2	L2PC	
R-C140300B-P1_repaired	2	L2PC	
R-C150600B-P2_repaired	2	L2PC	
R-C170797A-P1	2	L2PC	
R-C170797A-P2_repaired	3	L3PC	
R-C170897A-P2	3	L3PC	
R-C170897A-P3-repaired	3	L3PC	
R-C180298A-P2_repaired	3	L3PC	
R-C190199A-P3	2	L2PC	
R-C190898A-P2_repaired	3	L3PC	
R-C190898A-P3_repaired	2	L2PC	
R-C210797A-P1	2	L2PC	
R-C220797A-P3_repaired	3	L3PC	
R-C220797A-P4_repaired	2	L2PC	
R-C230797B-P1_repaired	2	L2PC	
R-C230797B-P4_repaired	2	L2PC	
R-C230998A-P2	2	L2PC	
R-C240199B-P1_repaired	3	L3PC	
R-C240199B-P2_repaired	3	L3PC	
R-C240797B-P1_repaired	3	L3PC	
R-C240797B-P3_repaired	3	L3PC	
R-C240998A-P4	3	L3PC
R-C250500A-P2	2	L2PC
R-C250500A-P3_repaired	2	L2PC	
R-C251197A-P4_repaired	3	L3PC	
R-C260897C-P2_repaire	3	L3PC	
R-C260897C-P3_repaired	3	L3PC	
R-C260897C-P4_repaired	3	L3PC	
R-C280199C-P1_repaired	3	L3PC	
R-C280199C-P2_repaired	2	L2PC	
R-C280199C-P3_repaired	2	L2PC	
R-C280998A-P3_repaired	2	L2PC	
R-C300898C-P2_repaired	2	L2PC	
R-C010398B-P2	4	L4PC
R-C010398B-P3_repaired	4	L4SP
R-C031097B-P3_repaired	4	L4SP
R-C060998B-P4_repaired	4	L4PC
R-C140600C-P3_repaired	4	L4PC
R-C150897B-P2_repaired	4	L4PC
R-C180997A-P3_repaired	4	L4SP
R-C190997A-P4	4	L4SP
R-C200897C-P2_repaired	4	L4PC
R-C200897C-P3	4	L4PC
R-C200897C-P4_repaired	4	L4PC
R-C220498B-P3_cor_repaired	4	L4PC
R-C230298D-P1_repaired	4	L4SP
R-C231296A-P4B2_repaired	4	L4PC
R-C260199A-P2_repaired	4	L4PC
R-C271097A-P1_repaired	4	L4SP
R-C271097A-P2_repaired	4	L4SP
R-C271097A-P3_repaired	4	L4SP
R-C300797C-P2	4	L4PC
R-C300797C-P4	4	L4PC
R-C300997A-P3_repaired	4	L4PC
